http://www.pro-football-reference.com/boxscores/201510250mia.htm,,,,,,,points,points,expected points before the play,expected points after the play,home team win %,
Quarter,Time,Down,ToGo,Location,Yard Line,Detail,HTX,MIA,EPB,EPA,Win%,
3,6:54,2,10,MIA 40,40,Ryan Tannehill sacked by J.J. Watt for -9 yards,6,41,1.05,-0.82,99.9,
3,6:14,3,19,MIA 31,31,Jonas Gray middle for 4 yards (tackle by Jadeveon Clowney). Penalty on Mike Pouncey: Offensive Holding (Declined),6,41,-0.82,-1.04,99.9,
3,5:48,4,15,MIA 35,35,Matt Darr punts 47 yards out of bounds,6,41,-1.04,-0.04,99.9,
3,5:41,1,10,HTX 18,18,Brian Hoyer pass complete deep left to Nate Washington for 23 yards (tackle by Jamar Taylor),6,41,0.04,1.66,99.9,
3,5:27,1,10,HTX 41,41,Brian Hoyer pass complete short middle to Nate Washington for 9 yards (tackle by Kelvin Sheppard),6,41,1.66,2.34,99.9,
3,5:03,2,1,MIA 50,50,Brian Hoyer pass complete short middle to Arian Foster for 26 yards (tackle by Brent Grimes and Jamar Taylor),6,41,2.34,3.97,99.9,
3,4:34,1,10,MIA 24,24,Brian Hoyer pass complete short middle to DeAndre Hopkins for 7 yards (tackle by Jelani Jenkins). DeAndre Hopkins fumbles (forced by Jelani Jenkins) recovered by Garrett Graham at MIA-15,6,41,3.97,4.85,99.9,
3,3:56,2,1,MIA 15,15,Arian Foster left guard for 5 yards (tackle by Michael Thomas),6,41,4.85,4.91,99.9,
3,3:14,1,10,MIA 10,10,Alfred Blue right guard for 3 yards (tackle by Spencer Paysinger),6,41,4.91,4.76,99.9,
3,2:49,2,7,MIA 7,7,Alfred Blue right guard for 3 yards (tackle by Koa Misi),6,41,4.76,4.49,99.9,
3,2:09,3,4,MIA 4,4,Penalty on Ndamukong Suh: Neutral Zone Infraction 2 yards (no play),6,41,4.49,4.95,99.9,
3,1:51,3,2,MIA 2,2,Arian Foster middle for 2 yards touchdown. Penalty on Olivier Vernon: Defensive Offside (Declined),12,41,4.95,7,99.9,
3,1:51,,,MIA 2,2,Nick Novak kicks extra point good,13,41,0,0,99.9,
3,1:51,,,HTX 35,35,Nick Novak kicks off 65 yards touchback,13,41,0,-0.28,99.9,
3,1:45,1,10,MIA 20,20,Ryan Tannehill pass complete short middle to Damien Williams for 8 yards (tackle by Jadeveon Clowney),13,41,0.28,0.81,99.9,
3,1:04,2,2,MIA 28,28,Ryan Tannehill pass complete short left to Dion Sims for -3 yards (tackle by Max Bullough),13,41,0.81,-0.3,99.9,
3,0:35,3,5,MIA 25,25,Ryan Tannehill pass complete short right to Damien Williams for 2 yards (tackle by Rahim Moore). Penalty on Ja'Wuan James: Offensive Holding 10 yards,13,41,-0.3,-1.51,99.9,
Quarter,Time,Down,ToGo,Location,,Detail,HTX,MIA,EPB,EPA,Win%,
,,,,,,,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,
4,15:00,3,13,MIA 17,17,Ryan Tannehill pass complete short right to Jonas Gray for 10 yards (tackle by John Simon and Jumal Rolle),13,41,-1.51,-1.57,99.9,
4,14:16,4,3,MIA 27,27,Matt Darr punts 50 yards returned by Keith Mumphery for 14 yards (tackle by Neville Hewitt),13,41,-1.57,-1.4,99.9,
4,14:04,1,10,HTX 37,37,Brian Hoyer pass complete short right to Arian Foster for 5 yards (tackle by Bobby McCain),13,41,1.4,1.53,99.9,
4,13:48,2,5,HTX 42,42,Brian Hoyer pass complete short left to Chris Polk for 6 yards (tackle by Zach Vigil),13,41,1.53,2.13,99.9,
4,13:31,1,10,HTX 48,48,Brian Hoyer pass complete short middle to Chris Polk for 8 yards (tackle by Michael Thomas),13,41,2.13,2.66,99.9,
4,13:02,2,2,MIA 44,44,Chris Polk middle for 5 yards (tackle by Jordan Phillips),13,41,2.66,2.98,99.9,
4,12:33,1,10,MIA 39,39,Brian Hoyer pass incomplete deep middle intended for DeAndre Hopkins is intercepted by Michael Thomas at MIA-15 and returned for 36 yards. Penalty on Derrick Shelby: Defensive Offside 5 yards (no play),13,41,2.98,3.71,99.9,
4,12:16,1,5,MIA 34,34,Brian Hoyer pass incomplete short right intended for Garrett Graham,13,41,3.71,3.12,99.9,
4,12:12,2,5,MIA 34,34,Brian Hoyer pass incomplete short right intended for Nate Washington,13,41,3.12,2.41,99.9,
4,12:07,3,5,MIA 34,34,Brian Hoyer pass complete short left to Nate Washington for 7 yards (tackle by Jamar Taylor),13,41,2.41,3.78,99.9,
